iter	Logloss
0	0.6849546814
1	0.6766239166
2	0.6677783966
3	0.6600827789
4	0.6525178528
5	0.644960022
6	0.6382450485
7	0.631503067
8	0.6236785126
9	0.6170628357
10	0.6098708344
11	0.6026567459
12	0.5958802414
13	0.5885102844
14	0.582204895
15	0.5761651611
16	0.5700605774
17	0.5645450592
18	0.5577507782
19	0.5516500473
20	0.5453221512
21	0.5401813507
22	0.5347062302
23	0.5305582428
24	0.5260799789
25	0.5216869354
26	0.5155435181
27	0.511216507
28	0.5062340546
29	0.5011902237
30	0.497348938
31	0.49196064
32	0.4876779938
33	0.48162323
34	0.4770217896
35	0.4728964996
36	0.4690896988
37	0.4653614807
38	0.4615662003
39	0.457829361
40	0.4533239365
41	0.4491049576
42	0.4446825409
43	0.4413370514
44	0.4373329163
45	0.4337084198
46	0.4300985718
47	0.4276116562
48	0.4241304779
49	0.4209507751
50	0.417883873
51	0.4147478485
52	0.4121269989
53	0.4084249496
54	0.4057782745
55	0.402561264
56	0.4000124741
57	0.3968302536
58	0.3931829834
59	0.390463028
60	0.3879860687
61	0.3853942871
62	0.3823601532
63	0.3797785568
64	0.3768343353
65	0.374707222
66	0.3718782043
67	0.3692737579
68	0.3669235229
69	0.3651688385
70	0.36281353
71	0.3598744965
72	0.3573220825
73	0.3549519348
74	0.3526150513
75	0.3505103302
76	0.3484494019
77	0.3461573792
78	0.3444008636
79	0.3421853638
80	0.3396983719
81	0.3379423523
82	0.3359541702
83	0.3340623474
84	0.3322568893
85	0.3308429337
86	0.3288814163
87	0.3270822906
88	0.3253204346
89	0.3238471222
90	0.3223019791
91	0.3208172226
92	0.3192799568
93	0.3176675224
94	0.3158696175
95	0.3144807625
96	0.312654686
97	0.3108666039
98	0.3097354126
99	0.3081028175
100	0.3064141464
101	0.3047566605
102	0.3032528687
103	0.3023818779
104	0.3012100983
105	0.2998606873
106	0.2980700302
107	0.2960363388
108	0.2944400597
109	0.2931322861
110	0.2919818878
111	0.2904855919
112	0.2894917107
113	0.2879147339
114	0.2864412498
115	0.2851935196
116	0.2841371155
117	0.2827041435
118	0.2816604233
119	0.2804432297
120	0.2786445618
121	0.277664032
122	0.2763680649
123	0.2755004883
124	0.2747071457
125	0.2733953857
126	0.272142067
127	0.2713962936
128	0.2699087524
129	0.2688891029
130	0.2674754715
131	0.2666671753
132	0.265749836
133	0.2648996544
134	0.2642149353
135	0.2634043884
136	0.2624368668
137	0.2617578125
138	0.2607730865
139	0.259794445
140	0.2590089989
141	0.2580653572
142	0.2574923134
143	0.2566188431
144	0.2555744934
145	0.2546796036
146	0.2537789917
147	0.2530042076
148	0.2525167847
149	0.2514002419
150	0.2507907104
151	0.2502801895
152	0.2494068718
153	0.248809166
154	0.2479108047
155	0.2474337769
156	0.2465439415
157	0.2457119751
158	0.2447984505
159	0.2439228058
160	0.2432696342
161	0.2428242874
162	0.2418325424
163	0.2409952927
164	0.2403683853
165	0.2399385643
166	0.2392507744
167	0.2382660294
168	0.237563591
169	0.2368954849
170	0.2363300323
171	0.2355635262
172	0.2347511673
173	0.2339797211
174	0.2332854843
175	0.2326932144
176	0.2319329262
177	0.2313237953
178	0.2306847
179	0.2299991608
180	0.2294548798
181	0.2287970734
182	0.2282011795
183	0.2276290894
184	0.2272661972
185	0.2267189789
186	0.2262708664
187	0.2254163551
188	0.2246928406
189	0.223993988
190	0.2234416199
191	0.2229679489
192	0.2223953247
193	0.2216538048
194	0.2211264992
195	0.220392189
196	0.2196913528
197	0.2192340088
198	0.2186808014
199	0.218105526
200	0.2176891327
201	0.2171562004
202	0.2167118645
203	0.2162669754
204	0.2157390976
205	0.2152503586
206	0.2148461723
207	0.2142632866
208	0.2136861801
209	0.2130158234
210	0.212391777
211	0.2119582367
212	0.2112456894
213	0.2106707573
214	0.2103608131
215	0.2099375725
216	0.2094791603
217	0.2088931084
218	0.2085199928
219	0.2080785561
220	0.2074527359
221	0.2069500351
222	0.2063997078
223	0.2058743668
224	0.2052448273
225	0.2046244431
226	0.2041828156
227	0.2037708092
228	0.203391037
229	0.2029713058
230	0.2026741028
231	0.2022087669
232	0.2018259811
233	0.2009823608
234	0.2006885529
235	0.2002283478
236	0.1997983551
237	0.1993875885
238	0.1988916206
239	0.1985711288
240	0.1981050491
241	0.1978201294
242	0.1974419785
243	0.1971244431
244	0.1966578674
245	0.1962919617
246	0.1958364868
247	0.1953309631
248	0.1951214027
249	0.1947513771
250	0.1940770721
251	0.1936815643
252	0.1933753204
253	0.1930829239
254	0.1927431488
255	0.192441597
256	0.1918527031
257	0.1914970779
258	0.1912210464
259	0.1908648682
260	0.1905341721
261	0.1902457237
262	0.1898423767
263	0.1894832039
264	0.1891244888
265	0.1887647438
266	0.1884647942
267	0.1881534195
268	0.1877773476
269	0.1875240707
270	0.1869194412
271	0.1865336227
272	0.1860413742
273	0.18577528
274	0.1854139519
275	0.1849504471
276	0.1844734764
277	0.1840599442
278	0.1836341858
279	0.1833005714
280	0.1830057526
281	0.1828657341
282	0.1823592758
283	0.1817058372
284	0.1814137459
285	0.1809001923
286	0.1805566788
287	0.1800708389
288	0.179745388
289	0.1793076134
290	0.1790594673
291	0.1787459183
292	0.1783340836
293	0.1780044746
294	0.1776860428
295	0.1774847412
296	0.1771966171
297	0.1770022011
298	0.1767377281
299	0.1762637329
300	0.1760784531
301	0.175704689
302	0.1755973053
303	0.1752886391
304	0.1750358582
305	0.1745973587
306	0.1741977692
307	0.1739429474
308	0.1737334442
309	0.1734272194
310	0.1730763626
311	0.1727594185
312	0.1725866699
313	0.1724411774
314	0.1721460724
315	0.1717175484
316	0.1715753937
317	0.1713227463
318	0.1710589409
319	0.1709654999
320	0.1705836296
321	0.1703407288
322	0.1699186707
323	0.1697483444
324	0.1694952011
325	0.1691976166
326	0.168861351
327	0.1686176682
328	0.1684234619
329	0.1681704521
330	0.1677533722
331	0.1672197342
332	0.1671166229
333	0.1669190979
334	0.1667441368
335	0.166339283
336	0.1660441589
337	0.1658049011
338	0.1655491638
339	0.1653634453
340	0.1650467873
341	0.1648370361
342	0.1647156525
343	0.1645673943
344	0.164354248
345	0.1642198372
346	0.1638985062
347	0.1636652565
348	0.1635239601
349	0.1633106804
350	0.1631205559
351	0.1628853035
352	0.1626808548
353	0.1623191643
354	0.1620437431
355	0.1616913986
356	0.1612356186
357	0.1609644318
358	0.1606301117
359	0.1604803848
360	0.16013134
361	0.1598803711
362	0.159688282
363	0.159262085
364	0.1587866974
365	0.1585501289
366	0.158266716
367	0.1579953575
368	0.1577128506
369	0.1574613762
370	0.1570866394
371	0.1567529392
372	0.1565473366
373	0.1561746025
374	0.1559301186
375	0.155542841
376	0.1553628635
377	0.1550739098
378	0.1548343277
379	0.1546205807
380	0.1543473053
381	0.1541117477
382	0.1540466785
383	0.1538965893
384	0.1537711906
385	0.1535206985
386	0.1532460022
387	0.152960186
388	0.1527066898
389	0.1523211575
390	0.1521460533
391	0.1519789124
392	0.1516808891
393	0.1515959263
394	0.1513844681
395	0.1511976814
396	0.1509307098
397	0.1506855583
398	0.1503878307
399	0.1499069786
400	0.1496835518
401	0.149546814
402	0.1492810631
403	0.1488929558
404	0.1488078785
405	0.148531208
406	0.1481163597
407	0.147934885
408	0.147704401
409	0.1475083542
410	0.1472635651
411	0.1469517326
412	0.1468219566
413	0.1466080475
414	0.1464698029
415	0.146260643
416	0.1461069202
417	0.1458896637
418	0.1457865906
419	0.1454920959
420	0.145086956
421	0.1449869442
422	0.1448686218
423	0.1446827698
424	0.1445615578
425	0.1444100952
426	0.1441061306
427	0.1438931751
428	0.1436719513
429	0.1435986137
430	0.1434331608
431	0.1432307625
432	0.1429833031
433	0.1428532982
434	0.1425976944
435	0.1422317696
436	0.1418262768
437	0.1416080093
438	0.1415123272
439	0.1412993717
440	0.1412124634
441	0.1410519981
442	0.1409047604
443	0.1406910133
444	0.1405440426
445	0.1402914619
446	0.1401101494
447	0.1399106598
448	0.1397492218
449	0.1395157814
450	0.1393216324
451	0.1390867519
452	0.1387363052
453	0.138526907
454	0.1384330177
455	0.1381489182
456	0.1379374695
457	0.1376850319
458	0.1375786781
459	0.1373370171
460	0.1371496773
461	0.1370264053
462	0.1367505264
463	0.1365151024
464	0.1362628078
465	0.1361065865
466	0.1359749413
467	0.135840292
468	0.1356480598
469	0.1353793335
470	0.135096693
471	0.1348686218
472	0.1346222115
473	0.1344438744
474	0.1342534447
475	0.1340557671
476	0.1338991547
477	0.1337174416
478	0.1335017395
479	0.1330567932
480	0.1327973747
481	0.1326252365
482	0.1323774147
483	0.1321735859
484	0.1317662144
485	0.131568203
486	0.1314397049
487	0.1312217903
488	0.1309326744
489	0.1306589508
490	0.1304786873
491	0.1301843262
492	0.1300460243
493	0.1298237038
494	0.129711628
495	0.1294999695
496	0.1293007469
497	0.1291385841
498	0.1290741348
499	0.1288642311
500	0.1286602879
501	0.1284544945
502	0.1282817936
503	0.1280187607
504	0.1278177834
505	0.1276753426
506	0.1275060844
507	0.1273878288
508	0.1272085094
509	0.1269129181
510	0.1266223049
511	0.1264566612
512	0.1263067245
513	0.1261470604
514	0.1260796165
515	0.1259806061
516	0.1257938957
517	0.1256385708
518	0.125410881
519	0.1252624702
520	0.1250924301
521	0.1249202156
522	0.1247335815
523	0.1245104408
524	0.1242448044
525	0.1240617371
526	0.1238767815
527	0.1236930847
528	0.1233842087
529	0.1231994247
530	0.1229582691
531	0.1229042912
532	0.1226401043
533	0.1224025345
534	0.1221533012
535	0.1219626904
536	0.1217833519
537	0.12163908
538	0.1214393234
539	0.1212931252
540	0.1210535431
541	0.1209704113
542	0.1208317566
543	0.1207425499
544	0.1204267883
545	0.1202613258
546	0.1200764465
547	0.1198697376
548	0.1197447586
549	0.119593811
550	0.1193816948
551	0.1191796112
552	0.1189969921
553	0.1188201523
554	0.1186761093
555	0.1184970951
556	0.1184575748
557	0.1183327675
558	0.1181667137
559	0.1180061436
560	0.1178009701
561	0.1176886368
562	0.117512207
563	0.1174186707
564	0.11736269
565	0.1171529579
566	0.1170764351
567	0.1168643379
568	0.1166761971
569	0.1165810013
570	0.1164592934
571	0.1162483597
572	0.1160162926
573	0.1159004784
574	0.1157374382
575	0.1155360413
576	0.1153646088
577	0.1150604534
578	0.1148335552
579	0.1146563148
580	0.1145512295
581	0.1144656754
582	0.1142444229
583	0.1141908073
584	0.1139628887
585	0.1137900734
586	0.1136809731
587	0.1135594177
588	0.1133216
589	0.1130104351
590	0.1128314018
591	0.1127451611
592	0.1125665283
593	0.1123817444
594	0.1122581482
595	0.1121075821
596	0.1119293404
597	0.1117950058
598	0.1115642357
599	0.1114398193
600	0.1112699509
601	0.1110411549
602	0.1108229637
603	0.1106737328
604	0.1104377174
605	0.110346241
606	0.1101623726
607	0.1099008179
608	0.1098385715
609	0.1096677971
610	0.1095153618
611	0.1094436836
612	0.1091781998
613	0.1090802479
614	0.1089402962
615	0.1088926983
616	0.1088711357
617	0.108754406
618	0.1086085987
619	0.1083890152
620	0.1083339882
621	0.1080903912
622	0.1079126358
623	0.1077636719
624	0.1076564884
625	0.1074510193
626	0.1073584938
627	0.1071578407
628	0.1069952965
629	0.1068964767
630	0.1068408966
631	0.1067877579
632	0.106666851
633	0.1064992523
634	0.1063919163
635	0.1062934971
636	0.1061521721
637	0.1059861946
638	0.1057946491
639	0.1056432533
640	0.1055889511
641	0.1054985428
642	0.1053900242
643	0.1052605438
644	0.1051245403
645	0.1050675011
646	0.1048176003
647	0.104684906
648	0.1046375847
649	0.1043627644
650	0.1041795158
651	0.1040514565
652	0.103995924
653	0.1038268661
654	0.1037676239
655	0.103686657
656	0.1035270119
657	0.1033885098
658	0.1033217812
659	0.1032344437
660	0.1032106972
661	0.1031559944
662	0.1029682159
663	0.1029006672
664	0.1027828693
665	0.1025754833
666	0.1023438072
667	0.1022033501
668	0.1020361996
669	0.1019375992
670	0.1018352699
